datetime,open,high,low,close,volume,openinterest
1689379200000,0.710721,0.73,0.69,0.717,25208.78309087,32
1689465600000,0.718,0.779594,0.712,0.726501,28547.64005467,72
1689552000000,0.750737,0.759298,0.711101,0.734756,59285.51495862,87
1689638400000,0.736079,0.7764,0.736079,0.7764,7672.33816313,54
1689724800000,0.786,0.845857,0.771331,0.815167,43825.14655745,111
1689811200000,0.833,0.8467,0.773744,0.798901,20593.58464047,40
1689897600000,0.796028,0.796028,0.755933,0.77263,7685.48474406,17
1689984000000,0.776657,0.776657,0.73,0.733255,6288.70836604,35
1690070400000,0.724321,0.752288,0.72,0.733958,61839.61937617,33
1690156800000,0.7338,0.7338,0.684321,0.706551,13654.10872675,44
1690243200000,0.691399,0.704,0.678,0.7,16796.40586788,16
1690329600000,0.71,0.722,0.698468,0.722,1428.12588347,10
1690416000000,0.719426,0.733079,0.709942,0.711,8923.82195933,23
1690502400000,0.70699,0.719471,0.7,0.709965,67172.41326752,46
1690588800000,0.70978,0.714828,0.705651,0.713327,6039.25269325,25
1690675200000,0.724107,0.724107,0.69,0.709249,6578.55779341,16
1690761600000,0.707496,0.724681,0.702836,0.724681,3157.00699521,4
1690848000000,0.68,0.708556,0.670347,0.708556,4514.37157238,18
1690934400000,0.703744,0.704389,0.678867,0.685877,60214.03589895,48
1691020800000,0.685373,0.708997,0.6596,0.707231,51636.72812765,67
1691107200000,0.660001,0.693432,0.633141,0.6365,6242.21436919,30
1691193600000,0.631,0.6835,0.617,0.629837,20700.14067979,27
1691280000000,0.633248,0.69,0.625,0.625,1565.04704182,22
1691366400000,0.621001,0.649999,0.607049,0.613758,41235.90707111,131
1691452800000,0.626846,0.649999,0.619047,0.645534,39736.53180748,20
1691539200000,0.646616,0.663476,0.635317,0.636229,8453.69399441,38
1691625600000,0.63,0.669979,0.624483,0.636073,3572.52747947,14
1691712000000,0.636053,0.636053,0.628,0.628,2806.00211073,7
1691798400000,0.63362,0.63362,0.631381,0.632851,692.26387125,10
1691884800000,0.629963,0.633882,0.626045,0.633882,375.52221039,6
1691971200000,0.634985,0.634985,0.626083,0.627816,6016.72486655,8
1692057600000,0.632084,0.632087,0.584344,0.58877,9075.18848146,30
1692144000000,0.600727,0.602721,0.58,0.58005,8942.17616515,21
1692230400000,0.583972,0.631958,0.48,0.545618,157028.75072319,618
1692316800000,0.545617,0.545618,0.49,0.50746,102774.33326518,142
1692403200000,0.505582,0.527699,0.504501,0.521007,12109.65878909,25
1692489600000,0.51708,0.554119,0.516965,0.539898,26073.03163036,92
1692576000000,0.527657,0.52888,0.50821,0.525863,45851.29896562,103
1692662400000,0.517507,0.519686,0.508629,0.519686,14442.43585551,26
1692748800000,0.520437,0.531879,0.520437,0.530819,478.37776075,6
1692835200000,0.526363,0.526363,0.513919,0.516993,2867.64244229,7
1692921600000,0.514835,0.525415,0.510224,0.525415,2552.27480784,13
1693008000000,0.522625,0.522625,0.521438,0.521438,0.83938087,3
1693094400000,0.526778,0.528637,0.519547,0.521419,3196.58455421,12
1693180800000,0.52142,0.52142,0.514,0.520818,1673.99227588,12
1693267200000,0.520998,0.543539,0.515155,0.539021,4441.92856802,23
1693353600000,0.5366,0.5366,0.524114,0.524114,14849.15603567,32
1693440000000,0.524568,0.526802,0.50005,0.504744,2633.64046856,23
1693526400000,0.50901,0.50901,0.490929,0.490929,4388.71476752,26
1693612800000,0.497835,0.499015,0.496924,0.496924,341.39281018,6
1693699200000,0.505751,0.508476,0.503386,0.505877,5733.46828107,13
1693785600000,0.504929,0.507121,0.5039,0.507121,279.535302,4
1693872000000,0.502864,0.50414,0.502864,0.50354,812.29379088,5
1693958400000,0.50563,0.50563,0.492466,0.504435,5131.83458365,38
1694044800000,0.499771,0.502004,0.499771,0.502004,3221.907899,5
1694131200000,0.5,0.504434,0.497039,0.503129,1655.670786,5
1694217600000,0.504679,0.504735,0.502518,0.502897,358.99096472,4
1694304000000,0.5016,0.5016,0.4951,0.497086,18473.64790737,18
1694390400000,0.492956,0.492956,0.461056,0.474237,22889.26759421,69
1694476800000,0.473461,0.483571,0.473312,0.483571,3769.75088896,11
1694563200000,0.48052,0.507999,0.47461,0.484464,33562.83809961,115
1694649600000,0.483431,0.492598,0.483022,0.491,583.90807482,8
1694736000000,0.498028,0.502503,0.49214,0.502503,3311.82008792,18
1694822400000,0.501277,0.501277,0.500195,0.500613,444.52653816,5
1694908800000,0.499243,0.499243,0.493772,0.493772,6020.99137513,20
1694995200000,0.493967,0.507253,0.493967,0.5014,1635.23661786,17
1695081600000,0.506611,0.515316,0.506611,0.514,11028.36970439,30
1695168000000,0.517148,0.52448,0.512,0.521,52333.96872209,84
1695254400000,0.515559,0.515559,0.502596,0.505064,5831.86418464,25
1695340800000,0.506508,0.516495,0.506508,0.513371,20113.43578921,116
1695427200000,0.51312,0.514196,0.50789,0.50789,7201.48191332,44
1695513600000,0.501847,0.501847,0.501847,0.501847,272.99157,1
1695600000000,0.5,0.504551,0.494129,0.504551,2493.59428717,10
1695686400000,0.500275,0.506548,0.499231,0.499231,3219.70560527,15
1695772800000,0.496999,0.507043,0.49692,0.500181,7871.8383598,21
1695859200000,0.500181,0.511477,0.498,0.50967,47108.22907475,277
1695945600000,0.513209,0.538683,0.507796,0.522293,33299.91210069,196
1696032000000,0.52,0.52,0.516591,0.517008,20083.9715301,30
1696118400000,0.516,0.535299,0.516,0.526001,16528.86880285,42
1696204800000,0.522133,0.527638,0.51,0.512267,79106.6700427,52
1696291200000,0.510008,0.537399,0.508066,0.537399,9847.18192537,31
1696377600000,0.527303,0.537953,0.5242,0.531888,22935.59797299,33
1696464000000,0.52253,0.527,0.519913,0.524262,9614.76269213,20
1696550400000,0.522069,0.5281,0.52125,0.5281,3466.62217186,16
1696636800000,0.523,0.524555,0.51986,0.51986,1751.60575651,12
1696723200000,0.520701,0.520701,0.518343,0.518343,917.42744173,5
1696809600000,0.512,0.513863,0.49312,0.503804,86402.76936291,142
1696896000000,0.4994,0.501038,0.494083,0.497604,22080.94600062,69
1696982400000,0.496097,0.496097,0.480495,0.487404,19205.95100371,118
1697068800000,0.4853,0.4853,0.476194,0.485011,10041.32218347,19
1697155200000,0.481115,0.491139,0.47977,0.489604,1294.13848303,16
1697241600000,0.487416,0.487884,0.487195,0.487884,444.39125307,3
1697328000000,0.487,0.491503,0.485231,0.489205,10026.03002586,52
1697414400000,0.486894,0.5018,0.485449,0.49592,17312.42210908,27
1697500800000,0.493691,0.493691,0.490345,0.49149,5728.7105483,9
1697587200000,0.487639,0.490603,0.486716,0.488812,2181.63245075,11
1697673600000,0.4868,0.52,0.479951,0.52,39139.566727,65
1697760000000,0.521877,0.528671,0.509174,0.517,23958.29541748,56
1697846400000,0.514705,0.528,0.513313,0.521212,13214.47357154,29
